,ano,estado_ibge,quantidade,valor_em_reais,estado,pib,codigo,area,população,idh,receita,despesa,natural_key
59,2009,16,1,142410.8,AP,14338838,16,142470762,829494,708,5396417.14471,4224464.08829,142426.8
62,2012,16,5,90000.0,AP,14338838,16,142470762,829494,708,5396417.14471,4224464.08829,90016.0
63,2003,17,5,81220.0,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,81237.0
64,2004,17,17,696593.88,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,696610.88
65,2005,17,16,302000.0,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,302017.0
66,2006,17,15,534425.0,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,534442.0
67,2007,17,16,1266001.74,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,1266018.74
68,2008,17,8,355858.89,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,355875.89
71,2011,17,8,74378.0,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,74395.0
72,2012,17,5,366972.5,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,366989.5
73,2013,17,4,271753.93,TO,31575831,17,277720404,1555229,699,10305099.01288,8929456.43836,271770.93
74,2003,21,31,893896.0,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,893917.0
75,2004,21,33,825104.5,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,825125.5
76,2005,21,59,4775917.45,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,4775938.45
77,2007,21,37,3754528.93,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,3754549.93
78,2008,21,42,2578426.51,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,2578447.51
79,2009,21,11,2017713.8,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,2017734.8
80,2010,21,22,10206013.78,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,10206034.78
81,2006,21,40,1710100.2,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,1710121.2
82,2011,21,21,4257025.87,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,4257046.87
83,2012,21,18,1647128.75,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,1647149.75
84,2013,21,13,802488.3,MA,85286226,21,329642170,7035055,639,18503261.35491,17627170.75574,802509.3
85,2003,22,13,1173000.0,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,1173022.0
86,2004,22,9,1805000.0,PI,41405815,22,251616823,3264531,646,12124215.61511,9676736.31835,1805022.0
